experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,31.931818181818176,30.06451612903226,"{""family"": ""near_gate"", ""train_mra"": 0.3193181818181818, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 155}"
near_gate_cv,1,31.847649918962723,30.38961038961039,"{""family"": ""near_gate"", ""train_mra"": 0.3184764991896272, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,2,32.20421393841167,28.96103896103896,"{""family"": ""near_gate"", ""train_mra"": 0.3220421393841167, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,3,30.599675850891412,35.38961038961039,"{""family"": ""near_gate"", ""train_mra"": 0.3059967585089141, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,4,31.199351701782817,32.5974025974026,"{""family"": ""near_gate"", ""train_mra"": 0.3119935170178282, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 153}"
spread_gate_cv,0,32.11038961038961,30.06451612903226,"{""family"": ""spread_gate"", ""train_mra"": 0.3211038961038961, ""threshold_p90"": 0.724230016448925, ""threshold_spread"": 0.26264463491663403, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 155}"
spread_gate_cv,1,31.92868719611021,30.77922077922078,"{""family"": ""spread_gate"", ""train_mra"": 0.3192868719611021, ""threshold_p90"": 0.6930265861173388, ""threshold_spread"": 0.2686937530478547, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 3, ""p90"": 151}"
spread_gate_cv,2,32.38249594813614,28.96103896103896,"{""family"": ""spread_gate"", ""train_mra"": 0.3238249594813614, ""threshold_p90"": 0.7242622326456164, ""threshold_spread"": 0.255470500846867, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,3,30.696920583468394,35.714285714285715,"{""family"": ""spread_gate"", ""train_mra"": 0.30696920583468396, ""threshold_p90"": 0.6950210969966252, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
spread_gate_cv,4,31.37763371150729,32.98701298701299,"{""family"": ""spread_gate"", ""train_mra"": 0.3137763371150729, ""threshold_p90"": 0.6935429623795363, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
stump_cv,0,32.646103896103895,31.032258064516128,"{""family"": ""stump"", ""train_mra"": 0.32646103896103895, ""feature"": ""skew"", ""threshold"": 8.86752098499299, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 3, ""p90"": 152}"
stump_cv,1,32.6418152350081,30.909090909090907,"{""family"": ""stump"", ""train_mra"": 0.32641815235008104, ""feature"": ""skew"", ""threshold"": 7.308855577788058, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 13, ""p90"": 141}"
stump_cv,2,33.20907617504052,28.96103896103896,"{""family"": ""stump"", ""train_mra"": 0.3320907617504052, ""feature"": ""skew"", ""threshold"": 8.658821831794008, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 5, ""p90"": 149}"
stump_cv,3,31.60453808752026,33.896103896103895,"{""family"": ""stump"", ""train_mra"": 0.3160453808752026, ""feature"": ""skew"", ""threshold"": 4.332240906957686, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 30, ""p90"": 124}"
stump_cv,4,32.042139384116695,31.493506493506494,"{""family"": ""stump"", ""train_mra"": 0.3204213938411669, ""feature"": ""accepted_candidate_mean"", ""threshold"": 2.6875, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 64, ""p90"": 90}"
tree_depth2_cv,0,33.08441558441559,32.903225806451616,"{""family"": ""tree_depth2"", ""train_mra"": 0.3308441558441559, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 8.050482738677227, ""count"": 616, ""left"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.6971428571428575, ""count"": 580, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 543, ""train_mra"": 0.3228360957642726}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 37, ""train_mra"": 0.4837837837837837}}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 36, ""train_mra"": 0.29444444444444445}}}","{""p75"": 16, ""p90"": 139}"
